Region1;Region2;dist
AT-CH-IT;BE-DE-LU-NL;1500
AT-CH-IT;FR;1540
BE-DE-LU-NL;AT-CH-IT;1500
BE-DE-LU-NL;DK-SE;1610
BE-DE-LU-NL;FR;1040
BE-DE-LU-NL;IE-UK;1105
DK-SE;BE-DE-LU-NL;1610
DK-SE;IE-UK;1715
ES-PT;FR;1184
FR;AT-CH-IT;1540
FR;BE-DE-LU-NL;1040
FR;ES-PT;1184
FR;IE-UK;1145
IE-UK;BE-DE-LU-NL;1105
IE-UK;DK-SE;1715
IE-UK;FR;1145
PT;ES;300
ES;PT;300
ES;FR;300
FR;ES;300
FR;GB;300
FR;BE;300
FR;LU;300
FR;DE;300
FR;CH;300
FR;IT;300
GB;IE;300
GB;BE;300
GB;NL;300
GB;DK;300
IE;GB;300
BE;GB;300
BE;NL;300
BE;DK;300
BE;LU;300
BE;DE;300
NL;GB;300
NL;DK;300
NL;BE;300
NL;DE;300
LU;FR;300
LU;BE;300
LU;DE;300
DE;LU;300
DE;BE;300
DE;NL;300
DE;DK;300
DE;SE;300
DE;PL;300
DE;CZ;300
DE;AT;300
DE;CH;300
DE;FR;300
DK;BE;300
DK;NL;300
DK;SE;300
DK;DE;300
SE;DK;300
SE;FI;300
SE;EE;300
SE;LV;300
SE;LT;300
SE;PL;300
FI;SE;300
FI;EE;300
EE;FI;300
EE;SE;300
EE;LV;300
LV;SE;300
LV;EE;300
LV;LT;300
LT;SE;300
LT;LV;300
LT;PL;300
PL;DE;300
PL;SE;300
PL;LT;300
PL;SK;300
PL;CZ;300
CH;FR;300
CH;DE;300
CH;AT;300
CH;IT;300
IT;FR;300
IT;CH;300
IT;AT;300
IT;SI;300
IT;HR;300
IT;GR;300
CZ;DE;300
CZ;PL;300
CZ;SK;300
CZ;AT;300
AT;IT;300
AT;CH;300
AT;DE;300
AT;CZ;300
AT;SK;300
AT;HU;300
AT;SI;300
SI;IT;300
SI;AT;300
SI;HU;300
SI;HR;300
SK;AT;300
SK;CZ;300
SK;PL;300
SK;RO;300
SK;HU;300
HU;AT;300
HU;SK;300
HU;RO;300
HU;HR;300
HU;SI;300
HR;IT;300
HR;SI;300
HR;HU;300
HR;GR;300
RO;SK;300
RO;HU;300
RO;BG;300
BG;RO;300
BG;GR;300
GR;IT;300
GR;HR;300
GR;BG;300
