From;To;Resources;tc_max
AT-CH-IT;BE-DE-LU-NL;ELECTRICITY;12.1
AT-CH-IT;FR;ELECTRICITY;7.55
BE-DE-LU-NL;AT-CH-IT;ELECTRICITY;12.1
BE-DE-LU-NL;DK-SE;ELECTRICITY;6.5
BE-DE-LU-NL;FR;ELECTRICITY;9.48
BE-DE-LU-NL;IE-UK;ELECTRICITY;3.4
DK-SE;BE-DE-LU-NL;ELECTRICITY;6.5
DK-SE;IE-UK;ELECTRICITY;1.4
ES-PT;FR;ELECTRICITY;5
FR;AT-CH-IT;ELECTRICITY;7.55
FR;BE-DE-LU-NL;ELECTRICITY;9.48
FR;ES-PT;ELECTRICITY;5
FR;IE-UK;ELECTRICITY;6.1
IE-UK;BE-DE-LU-NL;ELECTRICITY;3.4
IE-UK;DK-SE;ELECTRICITY;1.4
IE-UK;FR;ELECTRICITY;6.1
AT-CH-IT;BE-DE-LU-NL;GAS;30.021
AT-CH-IT;FR;GAS;4.167
BE-DE-LU-NL;AT-CH-IT;GAS;29.193
BE-DE-LU-NL;DK-SE;GAS;6.938
BE-DE-LU-NL;FR;GAS;61.25
BE-DE-LU-NL;IE-UK;GAS;54.058
DK-SE;BE-DE-LU-NL;GAS;132.923
DK-SE;FR;GAS;23.75
DK-SE;IE-UK;GAS;62.463
ES-PT;FR;GAS;9.35
FR;AT-CH-IT;GAS;10.85
FR;BE-DE-LU-NL;GAS;11.25
FR;ES-PT;GAS;6.875
IE-UK;BE-DE-LU-NL;GAS;27.154
