,,,Local availability,Exterior availability,Direct and indirect emissions for local resource,Price for local resource,
,,units,[GWh/y],[GWh/y],[ktCO2-eq./GWh],[Meuro/GWh],
Category,Subcategory,parameter name,avail_local,avail_exterior,gwp_op_local,c_op_local,Comment
Non-renewable,Other non-renewable,ELECTRICITY,0,0,0.21,0.08433,
Non-renewable,Fossil fuel,GASOLINE,0,1.00E+15,0.34,0.082366044,
Non-renewable,Fossil fuel,DIESEL,0,1.00E+15,0.31,0.079743788,
Renewable,Renewable fuels,GASOLINE_RE,0,1.00E+15,0,0.1502,
Renewable,Renewable fuel,DIESEL_RE,0,1.00E+15,0,0.1502,
Non-renewable,Fossil fuel,LFO,0,1.00E+15,0.31,0.06015058,
Renewable,Renewable fuel,LFO_RE,0,1.00E+15,0,0.1502,
Non-renewable,Fossil fuel,JET_FUEL,0,1.00E+15,0.31,0.082366044,
Renewable,Renewable fuel,JET_FUEL_RE,0,1.00E+15,0,0.1502,
Non-renewable,Fossil fuel,GAS,0,1.00E+15,0.27,0.04425306,
Renewable,Renewable fuel,GAS_RE,0,1.00E+15,0,0.118326,
Renewable,Biomass,WOOD,1.00E+15,0,0.02456,0.013612498,
Renewable,Biomass,WET_BIOMASS,1.00E+15,0,0.01056,0.018954999,
Renewable,Biomass,ENERGY_CROPS_2,1.00E+15,0,0.00756,0.018644526,
Renewable,Biomass,BIOWASTE,1.00E+15,0,0.01488,0.000121736,
Renewable,Biomass,BIOMASS_RESIDUES,1.00E+15,0,0.00324,0.011873285,
Non-renewable,Fossil fuel,COAL,0,0,0.4,0.017657892,
Non-renewable,Other non-renewable,URANIUM,0,1.00E+15,0,0.003876456,
Non-renewable,Other non-renewable,WASTE,1.00E+15,0,0.15,0.008096237,
Non-renewable,Other non-renewable,H2,0,1.00E+15,0.36,0.088003981,
Renewable,Renewable fuel,H2_RE,0,1.00E+15,0,0.119242396,
Non-renewable,Other non-renewable,AMMONIA,0,1.00E+15,0.46,0.094714031,
Non-renewable,Other non-renewable,METHANOL,0,1.00E+15,0.41,0.101985823,
Renewable,Renewable fuel,AMMONIA_RE,0,1.00E+15,0,0.081823311,
Renewable,Renewable fuel,METHANOL_RE,0,1.00E+15,0,0.111323944,
Export,Export,CO2_EMISSIONS,0,1.00E+15,0,0,
Renewable,Non-biomass,RES_WIND,1.00E+15,0,0,0,
Renewable,Non-biomass,RES_SOLAR,1.00E+15,0,0,0,
Renewable,Non-biomass,RES_HYDRO,1.00E+15,0,0,0,
Renewable,Non-biomass,RES_GEO,1.00E+15,0,0,0,
Others,Others,CO2_ATM ,0,1.00E+15,0,0,
Others,Others,CO2_INDUSTRY ,0,0,0,0,
Others,Others,CO2_CAPTURED,0,0,0,0,
Others,Others,PT_HEAT,0,0,0,0,
Others,Others,ST_HEAT,0,0,0,0,
