Category;Subcategory;Technologies name;Technologies param;f_min;f_max
;;Name (simplified);Name (in model and documents);[GW];[GW]
Electricity;Electricity;Nuclear;NUCLEAR;0;0
Electricity;Electricity;Photovoltaic;PV;53.926;520
Electricity;Electricity;Parabolic trough power block;PT_POWER_BLOCK;0;0
Electricity;Electricity;Solar tower power block;ST_POWER_BLOCK;0;0
Electricity;Electricity;Striling dish;STIRLING_DISH;0;0
Electricity;Electricity;Wind onshore;WIND_ONSHORE;58.138;112
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;8.062;84
Electricity;Electricity;Hydro dam;HYDRO_DAM;1.521;1.532
Electricity;Electricity;Hydro river;HYDRO_RIVER;4.214;4.224
Electricity;Electricity; tidal stream;NEW_TIDAL_STREAM;0;0
Electricity;Electricity;Tidal stream;TIDAL_STREAM;0;1.4
Electricity;Electricity;Tidal range;TIDAL_RANGE;0;1.4
Electricity;Electricity;Wave;WAVE;0;0
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;0;2.7
Heat;Heat low temperature centralised;Geothermal (DHN);DHN_DEEP_GEO;0;0
Storage;Electricity storage;Hydro dam storage;DAM_STORAGE;696.39;696.421
Storage;Electricity storage;Pumped hydro storage;PHS;47;373
