{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;6.3807e-05;0.00032091;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.03064592;0.0;0.07976391;0.27449035;0.0;0.0;0.0001
2;6.079e-05;0.00032026;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.0330033;0.0;0.07352445;0.2687624;0.0;0.0;0.0001
3;5.4191e-05;0.00031727;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.03017445;0.0;0.0608769;0.26335017;0.0;0.0;0.0001
4;4.3679e-05;0.00031223;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.03064592;0.0;0.07529511;0.25793794;0.0;0.0;0.0001
5;4.1603e-05;0.00030652;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.03017445;0.0;0.09367622;0.26114018;0.0;0.0;0.0001
6;4.4144e-05;0.00030115;0.0;9.398717075119246e-05;0.00011415525114155251;0.0;0.02993871;0.0;0.08524452;0.26127548;0.0;0.0;0.0001
7;5.2685e-05;0.00029667;0.0;0.0001821001433304354;0.00011415525114155251;0.0;0.03948609;0.0;0.07074199;0.25974202;0.0;0.0;0.0001
8;6.4481e-05;0.00028702;0.0;0.00015860335064263727;0.00011415525114155251;0.0;0.06176332;0.0;0.07892074;0.27016056;0.0;0.0;0.0001
9;7.9756e-05;0.00026701;0.0;0.00014685495429873823;0.00011415525114155251;0.00298126;0.05162659;0.0;0.0806914;0.2733628;0.0;0.33825257;0.0001
10;9.8879e-05;0.00024525;0.0;0.0001644775488145868;0.00011415525114155251;0.01618399;0.06883545;0.0;0.09021922;0.27746708;0.0;0.01726029;0.0001
11;0.00010396;0.00022681;0.0;0.00018797434150238492;0.00011415525114155251;0.03662692;0.06859972;0.0;0.10505902;0.27467076;0.0;0.00294171;0.0001
12;0.0001101;0.00021453;0.0;0.00020677177565262342;0.00011415525114155251;0.05408859;0.07425743;0.0;0.08440135;0.27845932;0.0;0.17310429;0.0001
13;0.0001118;0.00020807;0.0;0.00018797434150238492;0.00011415525114155251;0.06218058;0.08793022;0.0;0.10716695;0.27823381;0.0;0.13372543;0.0001
14;0.00010806;0.00020877;0.0;0.00019032402077116473;0.00011415525114155251;0.06005111;0.11504008;0.0;0.08490725;0.27624932;0.0;0.0;0.0001
15;9.8274e-05;0.00021936;0.0;0.00021382081345896285;0.00011415525114155251;0.04642249;0.14085337;0.0;0.09106239;0.27557279;0.0;0.0;0.0001
16;9.0387e-05;0.00023461;0.0;0.00022321953053408208;0.00011415525114155251;0.02342419;0.15405469;0.0;0.07698145;0.27597871;0.0;0.0;0.0001
17;9.0349e-05;0.00024714;0.0;0.00022321953053408208;0.00011415525114155251;0.00511073;0.16301273;0.0;0.08035413;0.29780805;0.0;0.0;0.0001
18;9.3322e-05;0.00025347;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.1460396;0.0;0.07976391;0.31918636;0.0;0.0;0.0001
19;8.9338e-05;0.00025872;0.0;0.00011748396343899057;0.00011415525114155251;0.0;0.09665252;0.0;0.14966273;0.32748512;0.0;0.0;0.0001
20;9.239e-05;0.00026072;0.0;8.811297257924293e-05;0.00011415525114155251;0.0;0.10454974;0.0;0.06922428;0.32590655;0.0;0.0;0.0001
21;8.9515e-05;0.00026327;0.0;5.874198171949529e-05;0.00011415525114155251;0.0;0.11810467;0.0;0.03532884;0.32509471;0.0;0.0;0.0001
22;7.7292e-05;0.00026601;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.06506365;0.0;0.05699831;0.30858741;0.0;0.0;0.0001
23;7.6347e-05;0.00026568;0.0;2.3496792687798115e-05;0.00011415525114155251;0.0;0.0432579;0.0;0.07908938;0.2734079;0.0;0.0;0.0001
24;6.5998e-05;0.00026397;0.0;9.398717075119246e-06;0.00011415525114155251;0.0;0.048562;0.0;0.05994941;0.26285405;0.0;0.0;0.0001
25;5.6651e-05;0.00026082;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.04997643;0.0;0.05472175;0.25883998;0.0;0.0;0.0001
26;4.7527e-05;0.0002567;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.03712871;0.0;0.06323777;0.25608876;0.0;0.0;0.0001
27;4.1344e-05;0.0002515;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.05964168;0.0;0.0806914;0.25757712;0.0;0.0;0.0001
28;3.279e-05;0.00024866;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.0918199;0.0;0.07715008;0.25635937;0.0;0.0;0.0001
29;3.5084e-05;0.00025057;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.10596417;0.0;0.07158516;0.2570359;0.0;0.0;0.0001
30;4.436e-05;0.00025303;0.0;9.398717075119246e-05;0.00011415525114155251;0.0;0.11173975;0.0;0.07715008;0.25297673;0.0;0.0;0.0001
31;5.408e-05;0.00025576;0.0;0.0001821001433304354;0.00011415525114155251;0.0;0.09948138;0.0;0.06694772;0.26132058;0.0;0.0;0.0001
32;6.8257e-05;0.00024665;0.0;0.00015860335064263727;0.00011415525114155251;0.0;0.11433286;0.0;0.07706577;0.27665524;0.0;0.0;0.0001
33;8.7456e-05;0.00021858;0.0;0.00014685495429873823;0.00011415525114155251;0.00511073;0.14238567;0.0;0.0698145;0.27688075;0.0;0.12217029;0.0001
34;9.2852e-05;0.00019469;0.0;0.0001644775488145868;0.00011415525114155251;0.02555366;0.17421028;0.0;0.08456998;0.2804889;0.0;0.27545143;0.0001
35;0.0001032;0.00017814;0.0;0.00018797434150238492;0.00011415525114155251;0.05621806;0.19448373;0.0;0.08237774;0.27742197;0.0;0.155298;0.0001
36;0.00010009;0.00016754;0.0;0.00020677177565262342;0.00011415525114155251;0.08475298;0.19189062;0.0;0.08254637;0.27697095;0.0;0.21038829;0.0001
37;9.336e-05;0.00016655;0.0;0.00018797434150238492;0.00011415525114155251;0.09965928;0.19966997;0.0;0.07824621;0.27895544;0.0;0.27179657;0.0001
38;8.9884e-05;0.00017964;0.0;0.00019032402077116473;0.00011415525114155251;0.09454855;0.22560113;0.0;0.07833052;0.27679055;0.0;0.0;0.0001
39;8.8868e-05;0.00019672;0.0;0.00021382081345896285;0.00011415525114155251;0.06899489;0.24516737;0.0;0.08010118;0.27534728;0.0;0.0;0.0001
40;9.3323e-05;0.00020587;0.0;0.00022321953053408208;0.00011415525114155251;0.03321976;0.2727487;0.0;0.08338954;0.27363341;0.0;0.0;0.0001
41;0.0001048;0.00020585;0.0;0.00022321953053408208;0.00011415525114155251;0.0072402;0.2606082;0.0;0.08701518;0.27818871;0.0;0.0;0.0001
42;7.8007e-05;0.00020326;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.49410655;0.0;0.05219224;0.29758254;0.0;0.0;0.0001
43;7.5837e-05;0.00020181;0.0;0.00011748396343899057;0.00011415525114155251;0.0;0.70650636;0.0;0.05868465;0.30890312;0.0;0.0;0.0001
44;7.3113e-05;0.00020333;0.0;8.811297257924293e-05;0.00011415525114155251;0.0;0.76119755;0.0;0.04317032;0.31210536;0.0;0.0;0.0001
45;5.779e-05;0.00020792;0.0;5.874198171949529e-05;0.00011415525114155251;0.0;0.80245167;0.0;0.03305228;0.30538517;0.0;0.0;0.0001
46;5.8755e-05;0.00021476;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.77168788;0.0;0.04671164;0.29618438;0.0;0.0;0.0001
47;5.6298e-05;0.00022077;0.0;2.3496792687798115e-05;0.00011415525114155251;0.0;0.71287129;0.0;0.06079258;0.28779542;0.0;0.0;0.0001
48;5.026e-05;0.00022557;0.0;9.398717075119246e-06;0.00011415525114155251;0.0;0.66336634;0.0;0.05430017;0.28012809;0.0;0.0;0.0001
49;6.9785e-05;0.00023033;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.64721829;0.0;0.0489882;0.26948403;0.0;0.0;0.0001
50;6.7792e-05;0.00023416;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.63661009;0.0;0.04881956;0.26488364;0.0;0.0;0.0001
51;5.7839e-05;0.00023908;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.61468647;0.0;0.07023609;0.26506404;0.0;0.0;0.0001
52;4.924e-05;0.00024411;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.5849835;0.0;0.09435076;0.26425221;0.0;0.0;0.0001
53;4.9974e-05;0.00024784;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.54019331;0.0;0.08625632;0.26682302;0.0;0.0;0.0001
54;5.4403e-05;0.00025;0.0;9.398717075119246e-05;0.00011415525114155251;0.0;0.67090995;0.0;0.07959528;0.27399423;0.0;0.0;0.0001
55;5.4079e-05;0.00025178;0.0;0.0001821001433304354;0.00011415525114155251;0.0;0.6441537;0.0;0.07790894;0.28603644;0.0;0.0;0.0001
56;5.9167e-05;0.00024745;0.0;0.00015860335064263727;0.00011415525114155251;0.00127768;0.62388025;0.0;0.05430017;0.29771784;0.0;0.0;0.0001
57;5.9273e-05;0.00023103;0.0;0.00014685495429873823;0.00011415525114155251;0.00894378;0.61126827;0.0;0.06315346;0.30709904;0.0;0.603642;0.0001
58;6.5572e-05;0.00021538;0.0;0.0001644775488145868;0.00011415525114155251;0.03364566;0.49929279;0.0;0.07107926;0.31571351;0.0;0.12357429;0.0001
59;6.8465e-05;0.00020528;0.0;0.00018797434150238492;0.00011415525114155251;0.06899489;0.42597831;0.0;0.08111298;0.32022371;0.0;0.01168886;0.0001
60;6.8933e-05;0.00020261;0.0;0.00020677177565262342;0.00011415525114155251;0.0988075;0.3384017;0.0;0.18026981;0.32455349;0.0;0.32001171;0.0001
61;5.7601e-05;0.00020749;0.0;0.00018797434150238492;0.00011415525114155251;0.11073254;0.23703442;0.0;0.17074199;0.33145409;0.0;0.29426057;0.0001
62;4.5665e-05;0.00021371;0.0;0.00019032402077116473;0.00011415525114155251;0.10093697;0.13837812;0.0;0.16905565;0.33339347;0.0;0.0;0.0001
63;3.7845e-05;0.0002213;0.0;0.00021382081345896285;0.00011415525114155251;0.07410562;0.13165959;0.0;0.18634064;0.33443081;0.0;0.0;0.0001
64;4.0625e-05;0.00022814;0.0;0.00022321953053408208;0.00011415525114155251;0.03875639;0.16808109;0.0;0.18962901;0.33605448;0.0;0.0;0.0001
65;4.8837e-05;0.00023094;0.0;0.00022321953053408208;0.00011415525114155251;0.00979557;0.1631306;0.0;0.20370995;0.35856035;0.0;0.0;0.0001
66;7.6611e-05;0.0002317;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.14179632;0.0;0.24148398;0.3691593;0.0;0.0;0.0001
67;7.2821e-05;0.00023193;0.0;0.00011748396343899057;0.00011415525114155251;0.0;0.05374823;0.0;0.25927487;0.38111131;0.0;0.0;0.0001
68;6.7872e-05;0.00023116;0.0;8.811297257924293e-05;0.00011415525114155251;0.0;0.03913248;0.0;0.20834739;0.38616273;0.0;0.0;0.0001
69;6.5644e-05;0.00023237;0.0;5.874198171949529e-05;0.00011415525114155251;0.0;0.03241396;0.0;0.05126476;0.38453906;0.0;0.0;0.0001
