Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;30487.78;39006.02;94712.69;0;[GWh]. 
Electricity;variable;ELECTRICITY_VAR;57297.36;73306.15;177998.77;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0.0;0.0;272141.17;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;431815.53;193129.29;70784.03;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;110377.33;43293.47;18338.75;0;[GWh]
Cold;process cooling;PROCESS_COOLING;0.0;55000.0;37000.0;0;[GWh]
Cold;space cooling;SPACE_COOLING;648.86;8351.14;4000.0;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;1295000;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0.0;0.0;0.0;790000;[Mtkm]
Non energy;Non energy;NON_ENERGY;0.0;0.0;162080.53642857145;0;[GWh]
