{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;3.0986e-05;0.00026659;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.2155911;0.703;0.00675231;0.28779143;0.09290455516760301;0.0;0.0001
2;2.4934e-05;0.00026744;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.220087;0.6875;0.04001976;0.28258962;0.40910536373606887;0.0;0.0001
3;1.9947e-05;0.0002686;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.22651919;0.6535;0.01333992;0.28052143;0.5197752923864032;0.0;0.0001
4;1.5768e-05;0.0002695;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.22683748;0.6803;0.00444664;0.27970669;0.32699492621670345;0.0;0.0001
5;1.3991e-05;0.00027044;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.22926448;0.7272;0.00082345;0.27845325;0.09604204010280284;0.0;0.0001
6;1.2798e-05;0.00027168;0.0;9.398717075119246e-05;0.00011415525114155251;0.0;0.23107477;0.749;0.00098814;0.27732514;0.0031686222294514195;0.0;0.0001
7;1.2192e-05;0.00027439;0.0;0.0001821001433304354;0.00011415525114155251;0.0;0.24315668;0.7706;0.00444664;0.27701178;0.012394427819111556;0.0;0.0001
8;1.6485e-05;0.00027775;0.0;0.00015860335064263727;0.00011415525114155251;0.0;0.26023182;0.801;0.00839921;0.27600902;0.16043548661191892;0.0;0.0001
9;2.1724e-05;0.00026761;0.0;0.00014685495429873823;0.00011415525114155251;0.02;0.25683669;0.7828;0.00477602;0.27582101;0.23102275152782112;0.0;0.0001
10;3.2563e-05;0.00025006;0.0;0.0001644775488145868;0.00011415525114155251;0.04;0.25202912;0.7865;0.00790514;0.27801454;0.14974342872599397;0.33802971;0.0001
11;4.4418e-05;0.00023759;0.0;0.00018797434150238492;0.00011415525114155251;0.06;0.26590807;0.8097;0.00428195;0.27964402;0.05194272431435512;0.52713514;0.0001
12;5.6163e-05;0.00022775;0.0;0.00020677177565262342;0.00011415525114155251;0.06;0.28812233;0.831;0.01432806;0.28190023;0.0031215642595836704;0.664092;0.0001
13;6.2782e-05;0.00022265;0.0;0.00018797434150238492;0.00011415525114155251;0.05;0.30702767;0.8244;0.00839921;0.28252695;0.10964938307860347;0.75161914;0.0001
14;5.8856e-05;0.00022409;0.0;0.00019032402077116473;0.00011415525114155251;0.03;0.31769051;0.8375;0.00428195;0.28114816;0.4746636161665412;0.65248114;0.0001
15;5.3681e-05;0.00023387;0.0;0.00021382081345896285;0.00011415525114155251;0.01;0.30227315;0.8599;0.02388011;0.28039609;0.6051252731561121;0.53543657;0.0001
16;5.2319e-05;0.00024836;0.0;0.00022321953053408208;0.00011415525114155251;0.0;0.3004297;0.8813;0.0291502;0.27970669;0.378606334901586;0.28488943;0.0001
17;5.8915e-05;0.00025361;0.0;0.00022321953053408208;0.00011415525114155251;0.0;0.34635686;0.9022;0.02173913;0.27895463;0.11090970853942342;0.0;0.0001
18;7.2259e-05;0.00025646;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.39552001;0.9295;0.03870224;0.27895463;0.0033615832863224003;0.0;0.0001
19;7.0672e-05;0.00025763;0.0;0.00011748396343899057;0.00011415525114155251;0.0;0.43351635;0.9531;0.03738472;0.27870394;0.01637369586754453;0.0;0.0001
20;6.5739e-05;0.00025827;0.0;8.811297257924293e-05;0.00011415525114155251;0.0;0.46376754;0.9654;0.04430171;0.27337679;0.19238161508619098;0.0;0.0001
