Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,8482.618814666246,15457.353880175184,5769.226096305685,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,13925.329254396183,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,33150.02953412731,15395.813165398675,3042.686772014738,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,3572.1708369321145,4136.003784534221,4060.199930802961,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,2764.4345091189657,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,3111.3088291001404,9004.379757738412,35.04560870518764,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,109133.672701077,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,33226.89592689694,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,18224.49909211666,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,165035.97564313686,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,1935.7949831891553,0.0,[GWh]
