Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,1408.930936776539,1946.8312269488267,1618.5270118255391,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,3688.598058330104,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,5274.211079224848,4586.847230594072,988.0099128011694,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,700.1243232142821,760.5740031387015,531.208308398101,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,366.3333643836961,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,40.941997853623455,118.48945796266727,32.6309960299781,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,23871.073269053268,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,9557.786251104711,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,865.8672419615546,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,128533.0759413509,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,734.6981841148088,0.0,[GWh]
