Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;Electricity;ELECTRICITY;11294.009185855342;7369.716342906831;12160.705459385048;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;15629.32940125655;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;32497.43096806712;7857.237609625475;4204.178780441871;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;10394.139377972751;7805.978610943679;1797.5843653348732;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;1404.6276541941743;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;8423.616631859688;24378.628819307316;1659.215639855089;0.0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;201722.18871835317;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;34442.41593380177;[Mtkm]
Mobility;International passenger flights;EXTRA_EU_AVIATION;0.0;0.0;0.0;15938.82408002959;[Mpkm]
Mobility;International shipping;INTERNATIONAL_SHIPPING;0.0;0.0;0.0;527545.5695885667;[Mtkm]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;6237.876447066307;0.0;[GWh]
