{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;6.3545e-05;0.00055387;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.8469;0.0;0.31609195;0.28964862;0.0;0.0;0.0
2;5.5211e-05;0.00055597;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.8446;0.0;0.30332056;0.22981956;0.0;0.0;0.0
3;3.8467e-05;0.00055834;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.843;0.0;0.24137931;0.09876543;0.0;0.0;0.0
4;2.5942e-05;0.00056168;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.8434;0.0;0.18837803;0.07882241;0.0;0.0;0.0
5;1.9607e-05;0.00056881;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.8496;0.0;0.18518519;0.07597341;0.0;0.0;0.0
6;2.0108e-05;0.00057737;0.0;9.398717075119246e-05;0.00011415525114155251;0.0;0.8558;0.0;0.17369093;0.07977208;0.0;0.0;0.0
7;2.1855e-05;0.00057996;0.0;0.0001821001433304354;0.00011415525114155251;0.00411692;0.8531;0.0;0.21775223;0.18898386;0.0;0.0;0.0
8;3.2886e-05;0.00056468;0.0;0.00015860335064263727;0.00011415525114155251;0.01976122;0.8603;0.0;0.30779055;0.21557455;0.0;0.0;0.139966702723353
9;6.6186e-05;0.00054317;0.0;0.00014685495429873823;0.00011415525114155251;0.08522026;0.8745;0.0;0.41954023;0.30009497;0.0;0.00221743;0.1870218384340437
10;0.00010628;0.00051775;0.0;0.0001644775488145868;0.00011415525114155251;0.16467682;0.8896;0.0;0.46168582;0.4311491;0.0;0.00829029;0.0
11;0.00013831;0.00049346;0.0;0.00018797434150238492;0.00011415525114155251;0.22478386;0.8951;0.0;0.41187739;0.44539411;0.0;0.0;0.012341709129229238
12;0.0001499;0.0004781;0.0;0.00020677177565262342;0.00011415525114155251;0.24083985;0.8902;0.0;0.37356322;0.44634378;0.0;0.0;0.0
13;0.00013388;0.00047506;0.0;0.00018797434150238492;0.00011415525114155251;0.24042816;0.8719;0.0;0.35951469;0.42924976;0.0;0.00215057;0.3143319313485064
14;0.00010098;0.00047836;0.0;0.00019032402077116473;0.00011415525114155251;0.20461095;0.8403;0.0;0.3697318;0.43589744;0.0;0.12797571;0.3620348090906886
15;0.00010129;0.00050059;0.0;0.00021382081345896285;0.00011415525114155251;0.13174146;0.7902;0.0;0.50702427;0.43874644;0.0;0.071292;0.26299345357802856
16;0.0001041;0.00052759;0.0;0.00022321953053408208;0.00011415525114155251;0.0362289;0.7754;0.0;0.60536398;0.5014245;0.0;0.0;0.0
17;0.00011197;0.00053288;0.0;0.00022321953053408208;0.00011415525114155251;0.00617538;0.7803;0.0;0.74329502;0.47198481;0.0;0.0;0.0
18;0.00013655;0.00053806;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.7755;0.0;0.76245211;0.53276353;0.0;0.0;0.0
