{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;8.4223e-05;0.00010505;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.5698;0.6691;0.0;0.39797606;0.09290455516760301;0.0;0.0001
2;0.00010178;0.00010439;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.5881;0.7031;0.0;0.61574074;0.40910536373606887;0.0;0.0001
3;8.4392e-05;0.00010391;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.6096;0.7375;0.0;0.61111111;0.5197752923864032;0.0;0.0001
4;6.1986e-05;0.00010244;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.6187;0.7178;0.0;0.6087963;0.32699492621670345;0.0;0.0001
5;4.794e-05;9.9905e-05;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.6232;0.7119;0.0;0.6087963;0.09604204010280284;0.0;0.0001
6;3.9216e-05;9.5015e-05;0.0;9.398717075119246e-05;0.00011415525114155251;0.0;0.681;0.8204;0.0;0.61805556;0.0031686222294514195;0.0;0.0001
7;3.6772e-05;8.8162e-05;0.0;0.0001821001433304354;0.00011415525114155251;0.0;0.7517;0.8727;0.0;0.61342593;0.012394427819111556;0.0;0.0001
8;4.0477e-05;8.2106e-05;0.0;0.00015860335064263727;0.00011415525114155251;0.0;0.8418;0.9156;0.0;0.62268519;0.16043548661191892;0.0;0.0001
9;4.5733e-05;7.6771e-05;0.0;0.00014685495429873823;0.00011415525114155251;0.0;0.9241;0.9456;0.0;0.62037037;0.23102275152782112;0.0;0.0001
10;4.8637e-05;7.1141e-05;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.9574;0.9678;0.0;0.61342593;0.14974342872599397;0.0;0.0001
11;5.6263e-05;6.5677e-05;0.0;0.00018797434150238492;0.00011415525114155251;0.01673;0.9565;0.9784;0.0;0.71759259;0.05194272431435512;0.0;0.0001
12;8.2178e-05;6.1473e-05;0.0;0.00020677177565262342;0.00011415525114155251;0.00494;0.9469;0.9793;0.0;0.83564815;0.0031215642595836704;0.0;0.0001
13;0.00010842;5.7546e-05;0.0;0.00018797434150238492;0.00011415525114155251;0.0458;0.922;0.9794;0.0;0.83101852;0.10964938307860347;0.0;0.0001
14;0.00013211;5.4379e-05;0.0;0.00019032402077116473;0.00011415525114155251;0.02491;0.881;0.9769;0.0;0.81944444;0.4746636161665412;0.0;0.0001
15;0.00014316;5.3453e-05;0.0;0.00021382081345896285;0.00011415525114155251;0.0066;0.8383;0.9694;0.0;0.82407407;0.6051252731561121;0.0;0.0001
16;0.00013566;5.4342e-05;0.0;0.00022321953053408208;0.00011415525114155251;0.0177;0.8053;0.9653;0.0;0.81018519;0.378606334901586;0.0;0.0001
17;0.00013233;5.6009e-05;0.0;0.00022321953053408208;0.00011415525114155251;0.0;0.7886;0.9658;0.0;0.78472222;0.11090970853942342;0.0;0.0001
18;0.0001419;5.825e-05;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.7792;0.9638;0.0;0.74537037;0.0033615832863224003;0.0;0.0001
19;0.0001653;6.301e-05;0.0;0.00011748396343899057;0.00011415525114155251;0.0;0.7891;0.9588;0.0;0.77314815;0.01637369586754453;0.0;0.0001
20;0.00016236;7.5734e-05;0.0;8.811297257924293e-05;0.00011415525114155251;0.0;0.8178;0.9404;0.0;0.7962963;0.19238161508619098;0.0;0.0001
21;0.00014843;9.9849e-05;0.0;5.874198171949529e-05;0.00011415525114155251;0.0;0.838;0.8944;0.0;0.79861111;0.26818002989082323;0.0;0.0001
22;0.00013151;0.00012396;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.844;0.8589;0.0;0.79861111;0.1696017011566227;0.0;0.0001
23;0.00011695;0.00014271;0.0;2.3496792687798115e-05;0.00011415525114155251;0.0;0.8346;0.8653;0.0;0.78472222;0.05646251288455374;0.0;0.0001
24;9.8116e-05;0.00016045;0.0;9.398717075119246e-06;0.00011415525114155251;0.0;0.8089;0.8547;0.0;0.7337963;0.0031215642595836704;0.0;0.0001
25;9.4451e-05;0.00017342;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.7743;0.8211;0.0;0.7037037;0.12344931381407097;0.0;0.0001
26;7.8527e-05;0.00018142;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.7512;0.752;0.0;0.71064815;0.5281815843778833;0.0;0.0001
27;5.3349e-05;0.00018781;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.7339;0.7011;0.0;0.71064815;0.6749323626708724;0.0;0.0001
28;3.5341e-05;0.00019307;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.7252;0.668;0.0;0.71759259;0.42069004185582703;0.0;0.0001
29;2.47e-05;0.00019774;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.7075;0.6408;0.0;0.70833333;0.12301501582880431;0.0;0.0001
30;1.8827e-05;0.00020225;0.0;9.398717075119246e-05;0.00011415525114155251;0.0;0.6919;0.6529;0.0;0.71296296;0.003511335258923195;0.0;0.0001
31;1.9911e-05;0.00020677;0.0;0.0001821001433304354;0.00011415525114155251;0.0;0.6648;0.6529;0.0;0.71296296;0.019860882289939832;0.0;0.0001
32;2.718e-05;0.00021277;0.0;0.00015860335064263727;0.00011415525114155251;0.0;0.6219;0.6352;0.0;0.69675926;0.2189415807506915;0.0;0.0001
33;4.6027e-05;0.00021931;0.0;0.00014685495429873823;0.00011415525114155251;0.0;0.5779;0.6056;0.0;0.70833333;0.2985216844817094;0.0;0.0001
34;6.7138e-05;0.00021863;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.5026;0.5629;0.0;0.71527778;0.18559571000005687;0.01229057;0.0001
35;8.9216e-05;0.00020733;0.0;0.00018797434150238492;0.00011415525114155251;0.30237;0.3882;0.4592;0.0;0.7037037;0.060019230123761376;0.14064514;0.0001
36;0.0001163;0.00019425;0.0;0.00020677177565262342;0.00011415525114155251;0.40368;0.3376;0.4156;0.0;0.73148148;0.0031215642595836704;0.42738429;0.0001
37;0.00013317;0.00018266;0.0;0.00018797434150238492;0.00011415525114155251;0.46042;0.346;0.4144;0.0;0.71990741;0.13836108768567007;0.459342;0.0001
38;0.00013875;0.00017734;0.0;0.00019032402077116473;0.00011415525114155251;0.40173;0.3405;0.3971;0.0;0.70833333;0.5855782785750012;0.33005143;0.0001
39;0.00013772;0.00018116;0.0;0.00021382081345896285;0.00011415525114155251;0.45532;0.3306;0.3153;0.0;0.72222222;0.7499116378467622;0.27675514;0.0001
40;0.00012969;0.00018847;0.0;0.00022321953053408208;0.00011415525114155251;0.01178;0.3418;0.3072;0.0;0.71527778;0.4657821334463149;0.13558629;0.0001
41;0.00012781;0.00019748;0.0;0.00022321953053408208;0.00011415525114155251;0.0;0.3435;0.3235;0.0;0.71527778;0.1359705786044072;0.0;0.0001
42;0.00014556;0.00019892;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.3654;0.3472;0.0;0.76388889;0.0036654699076849612;0.0;0.0001
43;0.00019112;0.00019709;0.0;0.00011748396343899057;0.00011415525114155251;0.0;0.3652;0.3885;0.0;0.81481481;0.023811049439435177;0.0;0.0001
44;0.00019508;0.0001962;0.0;8.811297257924293e-05;0.00011415525114155251;0.0;0.3552;0.3897;0.0;0.80787037;0.2478400642750383;0.0;0.0001
45;0.00017843;0.00019535;0.0;5.874198171949529e-05;0.00011415525114155251;0.0;0.3553;0.3848;0.0;0.80787037;0.33106969129645636;0.0;0.0001
46;0.00015678;0.00019501;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.3392;0.4169;0.0;0.7962963;0.20256490167061234;0.0;0.0001
47;0.00013921;0.0001964;0.0;2.3496792687798115e-05;0.00011415525114155251;0.0;0.3118;0.4156;0.0;0.7337963;0.06372226063831125;0.0;0.0001
48;0.00011555;0.00019838;0.0;9.398717075119246e-06;0.00011415525114155251;0.0;0.2674;0.3665;0.0;0.72453704;0.0031215642595836704;0.0;0.0001
