Technologies param,f_min,f_max
NUCLEAR,0.0,0.0
PV_ROOFTOP,0.277161,1.3414570780727868
PV_UTILITY,0.0,4.8348
PT_POWER_BLOCK,0.0,0.0
ST_POWER_BLOCK,0.0,0.0
PT_COLLECTOR,0.0,0.0
ST_COLLECTOR,0.0,0.0
WIND_ONSHORE,0.13644399999999998,0.6938067226890751
WIND_OFFSHORE,0.0,0.0
HYDRO_DAM,0.001,0.001
HYDRO_RIVER,0.001,0.14920323776967392
TIDAL_STREAM,0.0,0.0
TIDAL_RANGE,0.0,0.0
WAVE,0.0,0.0
GEOTHERMAL,0.0,0.0
DHN_DEEP_GEO,0.0,0.0
DHN_SOLAR,0.0,5.523646792064415
DEC_SOLAR,0.0,5.523646792064415
DAM_STORAGE,0.001,0.001
PHS,0.001,0.001
