{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;0.00010762638258743992;0.00027585;0.0;5.874198171949529e-06;0.0001141552511415;0.0;0.14171337;0.0;0.55454103;0.125;0.0;0.0;0.0001
2;0.00010658464877423195;0.00027738;0.0;2.3496792687798115e-06;0.0001141552511415;0.0;0.16413131;0.0;0.45434624;0.13333333;0.0;0.0;0.0001
3;0.00010552680686141617;0.00027726;0.0;1.1748396343899055e-06;0.0001141552511415;0.0;0.17293835;0.0;0.37083029;0.13333333;0.0;0.0;0.0001
4;0.00010478894084152411;0.0002797;0.0;1.409807561267887e-05;0.0001141552511415;0.0;0.1897518;0.0;0.21012905;0.13333333;0.0;0.0;0.0001
5;0.0001044362885179674;0.00028107;0.0;3.759486830047698e-05;0.0001141552511415;0.0;0.26100881;0.0;0.09861213;0.13333333;0.0;0.0;0.0001
6;0.00010391990886768274;0.00028102;0.0;9.398717075119246e-05;0.0001141552511415;0.0;0.25460368;0.0;0.13270027;0.13333333;0.0;0.0;0.0001
7;0.00010102079611183988;0.00028533;0.0;0.0001821001433304;0.0001141552511415;0.0;0.21697358;0.0;0.15449233;0.14166667;0.0;0.0;0.0001
8;0.00010133408714342636;0.00029001;0.0;0.0001586033506426;0.0001141552511415;0.0;0.25940753;0.0;0.13221329;0.14166667;0.0;0.0;0.0001
9;0.00010120683315652464;0.00028269;0.0;0.0001468549542987;0.0001141552511415;0.0;0.36829464;0.0;0.11151692;0.14166667;0.0;0.0;0.0001
10;0.00010150454535463329;0.00026343;0.0;0.0001644775488145;0.0001141552511415;0.031893;0.40192154;0.0;0.09775992;0.14166667;0.0;0.05948057;0.0001
11;0.00010264242151092902;0.00024539;0.0;0.0001879743415023;0.0001141552511415;0.12860082;0.38350681;0.0;0.09970782;0.14166667;0.0;0.54890829;0.0001
12;0.00010450981048689162;0.00023311;0.0;0.0002067717756526;0.0001141552511415;0.25377229;0.34667734;0.0;0.13330898;0.14166667;0.0;0.70812857;0.0001
13;0.00010524042786196016;0.00022801;0.0;0.0001879743415023;0.0001141552511415;0.32167353;0.33226581;0.0;0.20684198;0.14166667;0.0;0.61539771;0.0001
14;0.00010485256783497497;0.0002286;0.0;0.0001903240207711;0.0001141552511415;0.29115226;0.39311449;0.0;0.11687363;0.14166667;0.0;0.39603943;0.0001
15;0.00010430109553911613;0.00024223;0.0;0.0002138208134589;0.0001141552511415;0.18415638;0.41152922;0.0;0.07426345;0.14166667;0.0;0.17086457;0.0001
16;0.00010369669663026022;0.00027034;0.0;0.000223219530534;0.0001141552511415;0.08813443;0.40752602;0.0;0.07280253;0.14166667;0.0;0.0;0.0001
17;0.00010407500685533507;0.000272;0.0;0.000223219530534;0.0001141552511415;0.01406036;0.45716573;0.0;0.08035062;0.14166667;0.0;0.0;0.0001
18;0.00010649110673865231;0.00026369;0.0;0.0001644775488145;0.0001141552511415;0.0;0.55804644;0.0;0.36596056;0.14166667;0.0;0.0;0.0001
19;0.00010735335029908753;0.00025907;0.0;0.0001174839634389;0.0001141552511415;0.0;0.64131305;0.0;0.69929389;0.14166667;0.0;0.0;0.0001
20;0.00010660397849376133;0.00025723;0.0;8.811297257924293e-05;0.0001141552511415;0.0;0.69735789;0.0;0.77696616;0.14166667;0.0;0.0;0.0001
