Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,1507.7024459950471,2735.8927521248047,213.3854385401093,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,6910.952490818698,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,5985.507565099721,4854.020845204603,1329.8139674144936,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,1177.251430856114,1178.9636052017324,711.0605927582822,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,244.49898658541187,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,109.89498949596373,318.0450007531162,34.56042260302826,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,24898.433413709063,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,34939.04987673024,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,2569.5936162649314,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,239976.67940273252,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,812.4564947964963,0.0,[GWh]
