{PERIODS};ELECTRICITY_VAR;HEAT_LOW_T_SH;SPACE_COOLING;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;TIDAL;SOLAR;CSP
1;8.3855e-05;0.00018695;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.344;0.5852;0.0143136;0.10861998;0.0;0.0;0.0001
2;7.2979e-05;0.00018636;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.3791;0.5895;0.00065062;0.10861998;0.0;0.0;0.0001
3;6.3016e-05;0.00018569;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.3979;0.5084;0.0;0.10861998;0.0;0.0;0.0001
4;5.8199e-05;0.00018511;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.4189;0.4204;0.0;0.10861998;0.0;0.0;0.0001
5;5.8828e-05;0.00018465;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.4185;0.3652;0.0;0.10861998;0.0;0.0;0.0001
6;6.2769e-05;0.00018459;0.0;9.398717075119246e-05;0.00011415525114155251;0.0;0.4401;0.39;0.0;0.10861998;0.0;0.0;0.0001
7;6.5184e-05;0.00018476;0.0;0.0001821001433304354;0.00011415525114155251;0.0;0.473;0.4042;0.0;0.10861998;0.0;0.0;0.0001
8;6.6103e-05;0.00018455;0.0;0.00015860335064263727;0.00011415525114155251;0.0;0.4939;0.3796;0.0;0.10861998;0.0;0.0;0.0001
9;6.6768e-05;0.0001834;0.0;0.00014685495429873823;0.00011415525114155251;0.0011;0.5218;0.3198;0.01040989;0.10861998;0.0;0.0;0.0001
10;7.6251e-05;0.00018159;0.0;0.0001644775488145868;0.00011415525114155251;0.03806;0.5771;0.2912;0.01106051;0.10861998;0.0;0.00528171;0.0001
11;8.5726e-05;0.00017993;0.0;0.00018797434150238492;0.00011415525114155251;0.00299;0.6057;0.2794;0.01106051;0.10861998;0.0;0.22341429;0.0001
12;9.2738e-05;0.00017905;0.0;0.00020677177565262342;0.00011415525114155251;0.01868;0.5536;0.277;0.00065062;0.10861998;0.0;0.0;0.0001
13;9.243e-05;0.00017916;0.0;0.00018797434150238492;0.00011415525114155251;0.00069;0.5286;0.2566;0.01106051;0.10861998;0.0;0.00624;0.0001
14;9.5114e-05;0.00017999;0.0;0.00019032402077116473;0.00011415525114155251;0.0;0.5566;0.243;0.01106051;0.10861998;0.0;0.0;0.0001
15;0.00010176;0.0001803;0.0;0.00021382081345896285;0.00011415525114155251;0.0;0.6089;0.2382;0.01106051;0.10861998;0.0;0.0;0.0001
16;0.00012119;0.00017956;0.0;0.00022321953053408208;0.00011415525114155251;0.0;0.673;0.2526;0.01301236;0.10861998;0.0;0.0;0.0001
17;0.00013008;0.00017742;0.0;0.00022321953053408208;0.00011415525114155251;0.0;0.6789;0.2815;0.06961614;0.10861998;0.0;0.0;0.0001
18;0.00012965;0.000174;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.5981;0.3;0.06506181;0.10861998;0.0;0.0;0.0001
19;0.00012768;0.00017104;0.0;0.00011748396343899057;0.00011415525114155251;0.0;0.6205;0.3072;0.04229018;0.10861998;0.0;0.0;0.0001
20;0.00012385;0.00016898;0.0;8.811297257924293e-05;0.00011415525114155251;0.0;0.6332;0.3094;0.04098894;0.10861998;0.0;0.0;0.0001
21;0.000116;0.00016844;0.0;5.874198171949529e-05;0.00011415525114155251;0.0;0.6178;0.3341;0.00520494;0.10861998;0.0;0.0;0.0001
22;9.9664e-05;0.00016796;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.5889;0.3818;0.01106051;0.10861998;0.0;0.0;0.0001
23;8.3633e-05;0.00016747;0.0;2.3496792687798115e-05;0.00011415525114155251;0.0;0.5631;0.429;0.01040989;0.10861998;0.0;0.0;0.0001
24;6.6364e-05;0.00016752;0.0;9.398717075119246e-06;0.00011415525114155251;0.0;0.5783;0.445;0.0;0.10861998;0.0;0.0;0.0001
25;5.5711e-05;0.0001685;0.0;5.874198171949529e-06;0.00011415525114155251;0.0;0.6323;0.442;0.0;0.10861998;0.0;0.0;0.0001
26;4.6847e-05;0.00017007;0.0;2.3496792687798115e-06;0.00011415525114155251;0.0;0.686;0.4728;0.0;0.10861998;0.0;0.0;0.0001
27;4.3111e-05;0.00017205;0.0;1.1748396343899057e-06;0.00011415525114155251;0.0;0.741;0.5047;0.0;0.10861998;0.0;0.0;0.0001
28;4.297e-05;0.00017482;0.0;1.409807561267887e-05;0.00011415525114155251;0.0;0.772;0.4911;0.0;0.10861998;0.0;0.0;0.0001
29;4.9266e-05;0.0001761;0.0;3.759486830047698e-05;0.00011415525114155251;0.0;0.8149;0.5054;0.0;0.10861998;0.0;0.0;0.0001
30;6.4e-05;0.00017826;0.0;9.398717075119246e-05;0.00011415525114155251;0.0;0.8557;0.527;0.0;0.10861998;0.0;0.0;0.0001
31;8.2642e-05;0.000181;0.0;0.0001821001433304354;0.00011415525114155251;0.0;0.8929;0.5156;0.0;0.10861998;0.0;0.0;0.0001
32;0.00010377;0.00018244;0.0;0.00015860335064263727;0.00011415525114155251;0.0;0.9048;0.5019;0.01561483;0.10861998;0.0;0.0;0.0001
33;0.00011525;0.00018306;0.0;0.00014685495429873823;0.00011415525114155251;0.0003;0.9225;0.4818;0.09108653;0.10861998;0.0;0.0;0.0001
34;0.00013108;0.00018156;0.0;0.0001644775488145868;0.00011415525114155251;0.002;0.9533;0.4832;0.09629148;0.10861998;0.0;0.0;0.0001
35;0.00014073;0.00017651;0.0;0.00018797434150238492;0.00011415525114155251;0.0505;0.9635;0.5458;0.09043591;0.10861998;0.0;0.0;0.0001
36;0.00014195;0.00017049;0.0;0.00020677177565262342;0.00011415525114155251;0.00247;0.9703;0.602;0.10930384;0.10861998;0.0;0.0;0.0001
37;0.00014472;0.00016367;0.0;0.00018797434150238492;0.00011415525114155251;0.00068;0.9748;0.6488;0.11320755;0.10861998;0.0;0.0;0.0001
38;0.00014597;0.00015684;0.0;0.00019032402077116473;0.00011415525114155251;0.0;0.9772;0.6868;0.12361744;0.10861998;0.0;0.0;0.0001
39;0.00015168;0.00015172;0.0;0.00021382081345896285;0.00011415525114155251;0.0;0.9717;0.7015;0.17306441;0.10861998;0.0;0.0;0.0001
40;0.00016446;0.00015061;0.0;0.00022321953053408208;0.00011415525114155251;0.0;0.9615;0.6948;0.21014964;0.10861998;0.0;0.0;0.0001
41;0.00016706;0.0001532;0.0;0.00022321953053408208;0.00011415525114155251;0.0;0.9494;0.6744;0.24983735;0.10861998;0.0;0.0;0.0001
42;0.00016214;0.00015469;0.0;0.0001644775488145868;0.00011415525114155251;0.0;0.9314;0.6701;0.21860768;0.10861998;0.0;0.0;0.0001
43;0.00015278;0.00015405;0.0;0.00011748396343899057;0.00011415525114155251;0.0;0.9062;0.6912;0.17306441;0.10861998;0.0;0.0;0.0001
44;0.00014538;0.00015647;0.0;8.811297257924293e-05;0.00011415525114155251;0.0;0.8968;0.7145;0.15549772;0.10861998;0.0;0.0;0.0001
45;0.00013209;0.00016173;0.0;5.874198171949529e-05;0.00011415525114155251;0.0;0.8895;0.7276;0.1581002;0.10861998;0.0;0.0;0.0001
