Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,25131.91035743528,38721.708547828144,21582.41380694797,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,114934.12257086247,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,119909.28097715846,78409.11918965774,8152.5639671849995,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,24633.732470127008,26702.10796176973,19172.282470353744,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,10313.134414148833,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,3808.173885876623,11021.163675948234,204.3322811655343,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,401012.8330856273,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,355406.84276609484,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,21551.170331022287,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,555900.9405284337,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,48779.624380408306,0.0,[GWh]
