Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,7896.5765340251155,13800.434686320468,7875.403616324568,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,28476.819906058172,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,8001.026042247602,15009.096313374655,5074.240962897227,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,4757.518148698811,5446.581091911342,3717.9565948638397,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,1873.6622168579606,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,6765.643527066769,19580.32036338015,1151.347992325165,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,149985.54687445462,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,29938.559991424787,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,28879.28729270999,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,442596.5196068623,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,10424.577219806375,0.0,[GWh]
