,ELECTRICITY,HEAT_LOW_T_SH,SPACE_COOLING,MOBILITY_PASSENGER,MOBILITY_FREIGHT,PV,WIND_ONSHORE,WIND_OFFSHORE,HYDRO_DAM,HYDRO_RIVER,TIDAL,SOLAR,CSP
2017-01-01 00:00:00+00:00,9.932590832618235e-05,0.00033434857127004737,0.0,1.41e-05,0.00011415525114155251,0.0,0.4495,0.8791,0.1289197342579172,0.5752979860978146,0.0001,0.0,0.0001
2017-01-01 01:00:00+00:00,9.599734935452514e-05,0.00033434857127004737,0.0,3.76e-05,0.00011415525114155251,0.0,0.4391,0.8742,0.1288622361367137,0.5750576636485705,0.0001,0.0,0.0001
2017-01-01 02:00:00+00:00,9.358828181150249e-05,0.00033434857127004737,0.0,9.4e-05,0.00011415525114155251,0.0,0.4011,0.8626,0.12880473801551018,0.5748173411993265,0.0001,0.0,0.0001
2017-01-01 03:00:00+00:00,9.268718021144057e-05,0.00033434857127004737,0.0,0.0001821,0.00011415525114155251,0.0,0.3491,0.8541,0.12874723989430667,0.5745770187500824,0.0001,0.0,0.0001
2017-01-01 04:00:00+00:00,9.21538751828325e-05,0.00033434857127004737,0.0,0.000158603,0.00011415525114155251,0.0,0.2795,0.8333,0.12868974177310316,0.5743366963008383,0.0001,0.0,0.0001
2017-01-01 05:00:00+00:00,9.208031586854174e-05,0.00033434857127004737,0.0,0.000146855,0.00011415525114155251,0.0,0.2093,0.784,0.12863224365189962,0.5740963738515943,0.0001,0.0,0.0001
2017-01-01 06:00:00+00:00,9.123438375419792e-05,0.00033434857127004737,0.0,0.000164478,0.00011415525114155251,0.0,0.1845,0.7122,0.12857474553069612,0.5738560514023502,0.0001,0.0066426,0.0001
2017-01-01 07:00:00+00:00,9.139989221135216e-05,0.00033434857127004737,0.0,0.000187974,0.00011415525114155251,0.0,0.1487,0.6807,0.1285172474094926,0.5736157289531061,0.0001,0.10111760000000002,0.0001
2017-01-01 08:00:00+00:00,9.136311255420676e-05,0.00033434857127004737,0.0,0.000206772,0.00011415525114155251,0.003,0.1244,0.6844,0.1284597492882891,0.5733754065038621,0.0001,0.22653969999999998,0.0001
2017-01-01 09:00:00+00:00,9.07930278684533e-05,0.00033434857127004737,0.0,0.000187974,0.00011415525114155251,0.027,0.1143,0.6671,0.1284022511670856,0.573135084054618,0.0001,0.32292360000000003,0.0001
2017-01-01 10:00:00+00:00,9.055396009700831e-05,0.00033434857127004737,0.0,0.000190324,0.00011415525114155251,0.064,0.1158,0.6233,0.12834475304588208,0.5728947616053739,0.0001,0.37111320000000003,0.0001
2017-01-01 11:00:00+00:00,9.011260421126372e-05,0.00033434857127004737,0.0,0.000213821,0.00011415525114155251,0.068,0.1522,0.5967,0.12828725492467857,0.5726544391561299,0.0001,0.3675091,0.0001
