Technologies param,f_min,f_max
NUCLEAR,0.0,0.0
PV_ROOFTOP,0.46116399999999996,4.888806389477307
PV_UTILITY,0.0,30.7887
PT_POWER_BLOCK,0.0,0.0
ST_POWER_BLOCK,0.0,0.0
PT_COLLECTOR,0.0,0.0
ST_COLLECTOR,0.0,0.0
WIND_ONSHORE,0.003328,2.4245293200000004
WIND_OFFSHORE,0.0,0.0
HYDRO_DAM,0.6021899999999999,0.6021899999999999
HYDRO_RIVER,0.451415,1.7911996483626895
TIDAL_STREAM,0.0,0.0
TIDAL_RANGE,0.0,0.0
WAVE,0.0,0.0
GEOTHERMAL,0.0,0.1
DHN_DEEP_GEO,0.0,0.0
DHN_SOLAR,0.0,20.13037925078891
DEC_SOLAR,0.0,20.13037925078891
DAM_STORAGE,0.001,0.001
PHS,0.001,25.0
