Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,11728.741723813571,8611.579191463832,3591.9786635414744,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,64070.70394551748,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,50428.23723295732,9631.296593930734,15295.022137264932,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,8603.961250764354,3711.26661379298,4603.891500209169,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,3782.0099373057,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,1927.7583374375042,5579.088770963993,575.5122959881091,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,155400.36606844747,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,116308.58350685726,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,23970.923827565104,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,0.0,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,18688.38036897751,0.0,[GWh]
