Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;Electricity;ELECTRICITY;38570.58308510737;55623.267967662476;29451.652452538132;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;135706.41957791176;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;100390.72829021007;50285.95561861096;23871.069458460584;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;30927.471712112856;31166.44738085253;3307.882649215233;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;12057.227882053478;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;59026.18878953191;170826.5712943151;10896.34678378925;0.0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;797428.3192936262;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;340856.50593298476;[Mtkm]
Mobility;International passenger flights;EXTRA_EU_AVIATION;0.0;0.0;0.0;138112.6824053384;[Mpkm]
Mobility;International shipping;INTERNATIONAL_SHIPPING;0.0;0.0;0.0;2788334.0208515204;[Mtkm]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;48840.97326113377;0.0;[GWh]
