Category,Subcategory,parameter name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,Electricity,ELECTRICITY,75484.52034755975,88480.26767460245,82861.75132459583,0.0,[GWh]
Heat,High temperature,HEAT_HIGH_T,0.0,0.0,139135.0870235062,0.0,[GWh]
Heat,Space heating,HEAT_LOW_T_SH,244543.20880600854,124864.6031912356,28493.07680332094,0.0,[GWh]
Heat,Hot water,HEAT_LOW_T_HW,71493.07276312962,48165.00793543611,10074.431802174751,0.0,[GWh]
Cold,Process cooling,PROCESS_COOLING,0.0,0.0,16832.182124848925,0.0,[GWh]
Cold,Space cooling,SPACE_COOLING,110147.5612624209,318775.9639027696,3531.571719132782,0.0,[GWh]
Mobility,Passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,1130395.578551796,[Mpkm]
Mobility,Freight,MOBILITY_FREIGHT,0.0,0.0,0.0,466828.4661336553,[Mtkm]
Mobility,Long-haul passenger flights,AVIATION_LONG_HAUL,0.0,0.0,0.0,181991.01343509642,[Mpkm]
Mobility,International shipping,SHIPPING,0.0,0.0,0.0,1685086.1101824972,[Mtkm]
Non-energy,Non-energy,NON_ENERGY,0.0,0.0,96411.7944808262,0.0,[GWh]
