Technologies param,f_min,f_max
NUCLEAR,0.0,0.0
PV_ROOFTOP,13.915,148.09217692247537
PV_UTILITY,0.0,545.0268
PT_POWER_BLOCK,0.0,0.0
ST_POWER_BLOCK,0.0,0.0
PT_COLLECTOR,0.0,0.0
ST_COLLECTOR,0.0,0.0
WIND_ONSHORE,14.493,230.0050000000001
WIND_OFFSHORE,11.255,103.605
HYDRO_DAM,0.524,5.239100000000027
HYDRO_RIVER,0.848475,1.234712038761011
TIDAL_STREAM,0.0,25.2
TIDAL_RANGE,0.0,25.2
WAVE,0.0,0.0
GEOTHERMAL,0.0,1.0
DHN_DEEP_GEO,0.0,0.0
DHN_SOLAR,0.0,609.7913167396043
DEC_SOLAR,0.0,609.7913167396043
DAM_STORAGE,0.001,0.001
PHS,25.43,1749.0001
