Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;Electricity;ELECTRICITY;3429.35323447321;5069.0233757791375;1497.5422486889317;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;19213.2730344276;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;10681.452228501026;8811.278259525468;7641.388156593796;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;3124.007716043373;3114.3905529834046;874.8185854827653;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;975.6376721594402;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;10054.41478891314;29098.290775390364;658.3489363965609;0.0;[GWh]
Mobility;Passenger;MOBILITY_PASSENGER;0.0;0.0;0.0;61515.56873634231;[Mpkm]
Mobility;Freight;MOBILITY_FREIGHT;0.0;0.0;0.0;40403.89302220473;[Mtkm]
Mobility;International passenger flights;EXTRA_EU_AVIATION;0.0;0.0;0.0;1125.6565839918903;[Mpkm]
Mobility;International shipping;INTERNATIONAL_SHIPPING;0.0;0.0;0.0;0.0;[Mtkm]
Non-energy;Non-energy;NON_ENERGY;0.0;0.0;7141.941515342001;0.0;[GWh]
