unit	tra_meas	partner	geo\time	2019
PAS	PAS_BRD	AT	BE	494641
PAS	PAS_BRD	AT	BG	502827
PAS	PAS_BRD	AT	CY	310424
PAS	PAS_BRD	AT	CZ	182794
PAS	PAS_BRD	AT	DE	7334643
PAS	PAS_BRD	AT	DK	563802
PAS	PAS_BRD	AT	EE	49857
PAS	PAS_BRD	AT	GR	1182122
PAS	PAS_BRD	AT	ES	2603312
PAS	PAS_BRD	AT	EU27_2007	23920810
PAS	PAS_BRD	AT	EU27_2020	21865647
PAS	PAS_BRD	AT	EU28	24271468
PAS	PAS_BRD	AT	FI	220906
PAS	PAS_BRD	AT	FR	1501492
PAS	PAS_BRD	AT	HR	350658
PAS	PAS_BRD	AT	HU	109999
PAS	PAS_BRD	AT	IE	258454
PAS	PAS_BRD	AT	IT	2054314
PAS	PAS_BRD	AT	LT	69713
PAS	PAS_BRD	AT	LU	124378
PAS	PAS_BRD	AT	LV	136996
PAS	PAS_BRD	AT	MT	139448
PAS	PAS_BRD	AT	NL	1380944
PAS	PAS_BRD	AT	PL	543488
PAS	PAS_BRD	AT	PT	439059
PAS	PAS_BRD	AT	RO	742249
PAS	PAS_BRD	AT	SE	454158
PAS	PAS_BRD	AT	SI	45357
PAS	PAS_BRD	AT	SK	69612
PAS	PAS_BRD	AT	UK	2405821
PAS	PAS_BRD	BE	AT	508195
PAS	PAS_BRD	BE	BG	297592
PAS	PAS_BRD	BE	CY	64879
PAS	PAS_BRD	BE	CZ	490087
PAS	PAS_BRD	BE	DE	1812559
PAS	PAS_BRD	BE	DK	706414
PAS	PAS_BRD	BE	EE	66103
PAS	PAS_BRD	BE	GR	1171405
PAS	PAS_BRD	BE	ES	6324964
PAS	PAS_BRD	BE	EU27_2007	24898913
PAS	PAS_BRD	BE	EU27_2020	23554010
PAS	PAS_BRD	BE	EU28	25138445
PAS	PAS_BRD	BE	FI	241078
PAS	PAS_BRD	BE	FR	2270807
PAS	PAS_BRD	BE	HR	239532
PAS	PAS_BRD	BE	HU	541632
PAS	PAS_BRD	BE	IE	507042
PAS	PAS_BRD	BE	IT	3546972
PAS	PAS_BRD	BE	LT	98277
PAS	PAS_BRD	BE	LU	879
PAS	PAS_BRD	BE	LV	150995
PAS	PAS_BRD	BE	MT	225441
PAS	PAS_BRD	BE	NL	311396
PAS	PAS_BRD	BE	PL	862734
PAS	PAS_BRD	BE	PT	1618500
PAS	PAS_BRD	BE	RO	714334
PAS	PAS_BRD	BE	SE	621951
PAS	PAS_BRD	BE	SI	98533
